id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Dusty Trails,country,nostalgic,0.61,100,0.78,0.69,0.74
12,Eclipse Drop,Bass Theory,electronic,intense,0.95,140,0.43,0.91,0.03
13,Sunday Morning,Willow Creek,folk,relaxed,0.29,68,0.83,0.45,0.95
14,Crown the Night,Iron Vale,metal,angry,0.98,172,0.22,0.55,0.06
15,Blue Bossa Nova,Rio Quintet,bossa nova,romantic,0.44,104,0.75,0.67,0.88
16,Neon Sermon,Hollow Static,darkwave,melancholic,0.58,96,0.21,0.64,0.30
17,Harvest Moon Dance,The Fiddle Co.,bluegrass,joyful,0.72,148,0.90,0.76,0.82
18,Sacred Geometry,Theta Room,meditation,peaceful,0.15,55,0.68,0.28,0.97
19,Sugar Rush,Bright Lights,pop,happy,0.78,120,0.88,0.84,0.12
20,Dancing Alone,Solo Hearts,pop,melancholic,0.65,108,0.42,0.72,0.20
21,Golden Hour,Saffron Sky,pop,romantic,0.71,112,0.79,0.76,0.25
22,Neon Daydream,Prism Wave,pop,moody,0.68,115,0.55,0.80,0.15
23,Summer Static,Circuit Beach,pop,happy,0.85,125,0.90,0.88,0.08
24,Paper Hearts,Ivory Lane,pop,romantic,0.60,100,0.72,0.65,0.30
25,Ultraviolet,Pulse City,pop,intense,0.89,135,0.65,0.86,0.06
26,Quiet Storm,The Velvet Hush,pop,melancholic,0.55,95,0.38,0.62,0.35
27,Rain Puddles,Cassette Dreams,lofi,relaxed,0.30,70,0.65,0.50,0.88
28,Coffee and Clouds,Mellow Studio,lofi,peaceful,0.25,65,0.70,0.45,0.90
29,Ember Glow,Soft Static,lofi,chill,0.38,75,0.58,0.55,0.80
30,Dusty Pages,Attic Record,lofi,nostalgic,0.32,72,0.62,0.52,0.84
31,Lunchbreak,Paper Cup Beats,lofi,focused,0.45,82,0.60,0.63,0.75
32,Late Night Sketch,Pencil Lo,lofi,focused,0.42,80,0.55,0.58,0.78
33,Harbor Fog,Driftwood Sessions,lofi,relaxed,0.28,68,0.68,0.48,0.85
34,Stargazer,Rooftop Lofi,lofi,peaceful,0.35,74,0.72,0.52,0.82
35,Study Session,Brainfog Beats,lofi,focused,0.40,78,0.58,0.60,0.77
36,Broken Signal,Static Pulse,rock,moody,0.75,130,0.42,0.60,0.15
37,Thunder Road,Iron Wagon,rock,intense,0.88,145,0.52,0.65,0.12
38,Glass Canyon,Fault Lines,rock,angry,0.92,155,0.35,0.62,0.08
39,Midnight Reckoning,Voltage Band,rock,moody,0.80,138,0.40,0.68,0.10
40,Restless World,Concrete Sky,rock,intense,0.85,148,0.48,0.64,0.14
41,Desert Song,Wandering Amp,rock,nostalgic,0.65,110,0.60,0.55,0.30
42,Landslide Dreams,Echo Chamber,rock,melancholic,0.62,105,0.38,0.52,0.22
43,City Grid,Block Theory,hip-hop,intense,0.82,90,0.60,0.85,0.10
44,Late Pass,The Cipher,hip-hop,moody,0.70,85,0.45,0.80,0.15
45,Corner Store,Neighborhood Sound,hip-hop,nostalgic,0.65,88,0.62,0.75,0.20
46,Golden Chain,Plat Status,hip-hop,happy,0.78,95,0.72,0.82,0.12
47,Sideshow,Hustle Collective,hip-hop,intense,0.85,92,0.55,0.88,0.08
48,Quiet Hours,Introspect MC,hip-hop,melancholic,0.60,80,0.38,0.70,0.25
49,Crown Heights,Borough Sound,hip-hop,focused,0.72,88,0.65,0.78,0.18
50,New Era,Fresh Chapter,hip-hop,joyful,0.80,95,0.78,0.85,0.10
51,Binary Sunset,Modular Mind,electronic,moody,0.75,130,0.45,0.85,0.05
52,Deep Current,Sub Ocean,electronic,focused,0.70,125,0.50,0.80,0.08
53,Voltage Love,Waveform,electronic,romantic,0.68,120,0.65,0.78,0.10
54,Circuit Breaker,Raw Hz,electronic,intense,0.92,145,0.40,0.90,0.03
55,Frequency Dream,Sine Wave,electronic,chill,0.55,110,0.58,0.72,0.12
56,Satellite Rain,Orbit Sound,electronic,melancholic,0.62,118,0.35,0.75,0.08
57,Morning Algorithm,Daybreak Digital,electronic,happy,0.78,128,0.80,0.85,0.05
58,Window Seat,Sparrow & Bell,indie pop,peaceful,0.58,104,0.75,0.68,0.45
59,Soft Landing,The Pastel Club,indie pop,romantic,0.62,108,0.80,0.72,0.40
60,Pinwheel,Carousel Kids,indie pop,joyful,0.72,115,0.85,0.78,0.32
61,Silver Thread,Paper Boat,indie pop,melancholic,0.55,100,0.45,0.65,0.50
62,Daydream Map,Pastel Routes,indie pop,happy,0.70,112,0.82,0.75,0.38
63,Wildflower Year,Open Road Duo,indie pop,nostalgic,0.65,106,0.70,0.68,0.42
64,Blue Hour Trio,Blue Hour Trio,jazz,melancholic,0.32,85,0.48,0.50,0.88
65,Smoke and Mirrors,Velvet Quartet,jazz,moody,0.40,92,0.42,0.55,0.82
66,Morning Pages,Cafe Ensemble,jazz,relaxed,0.35,88,0.72,0.52,0.90
67,Late Night Changes,Rhythm Parlor,jazz,romantic,0.42,95,0.65,0.58,0.85
68,Rooftop Sessions,Sky High Jazz,jazz,joyful,0.55,105,0.80,0.65,0.78
69,Two AM Standard,The Night Cats,jazz,nostalgic,0.38,90,0.55,0.52,0.87
70,Porch Light,The Farmhouse Trio,folk,nostalgic,0.35,72,0.78,0.50,0.94
71,Old Country Road,Hollow Branches,folk,relaxed,0.32,68,0.72,0.45,0.96
72,River and Rain,Mossy Stone Duo,folk,peaceful,0.28,65,0.80,0.42,0.95
